Amenity,IX_Amenity_CategoryId,Non-Unique,Non-Clustered,CategoryId ASC
Amenity,PK__Amenity__842AF50B259C950E,Primary Key,Clustered,AmenityId ASC
AmenityCategory,PK__AmenityC__C6FAF78E1BD6AEAD,Primary Key,Clustered,AmenityCategoryId ASC
AmenityCategory,UQ__AmenityC__6F051CE5444896BD,Unique Constraint,Non-Clustered,AmenityCategoryName ASC
AvailabilityStatus,PK__Availabi__611FF096F7225564,Primary Key,Clustered,AvailabilityStatusId ASC
AvailabilityStatus,UQ__Availabi__B5A6D4A0195CE69F,Unique Constraint,Non-Clustered,AvailabilityStatusName ASC
BookingPayment,IX_BookingPayment_BookingRequestId,Non-Unique,Non-Clustered,BookingRequestId ASC
BookingPayment,IX_BookingPayment_PaymentStatusId,Non-Unique,Non-Clustered,PaymentStatusId ASC
BookingPayment,IX_BookingPayment_TenantId,Non-Unique,Non-Clustered,TenantId ASC
BookingPayment,PK__BookingP__B9EFEDB36D0D6A92,Primary Key,Clustered,BookingPaymentId ASC
BookingRequest,IX_BookingRequest_BookingRequestStatusId,Non-Unique,Non-Clustered,BookingRequestStatusId ASC
BookingRequest,IX_BookingRequest_ListingId,Non-Unique,Non-Clustered,ListingId ASC
BookingRequest,IX_BookingRequest_TenantId,Non-Unique,Non-Clustered,TenantId ASC
BookingRequest,PK__BookingR__68EDFCC73B2ECB17,Primary Key,Clustered,BookingRequestId ASC
BookingRequestStatus,PK__BookingR__13CB1244B475F592,Primary Key,Clustered,BookingRequestStatusId ASC
BookingRequestStatus,UQ__BookingR__7B702CEE230A8870,Unique Constraint,Non-Clustered,BookingRequestStatusName ASC
Conversation,IX_Conversation_LandlordId,Non-Unique,Non-Clustered,LandlordId ASC
Conversation,IX_Conversation_ListingId,Non-Unique,Non-Clustered,ListingId ASC
Conversation,IX_Conversation_TenantId,Non-Unique,Non-Clustered,TenantId ASC
Conversation,PK__Conversa__C050D8776F63CB96,Primary Key,Clustered,ConversationId ASC
DocumentRegistration,IX_DocumentRegistration_UserId,Non-Unique,Non-Clustered,UserId ASC
DocumentRegistration,IX_DocumentRegistration_VerificationStatusId,Non-Unique,Non-Clustered,VerificationStatusId ASC
DocumentRegistration,IX_DocumentRegistration_VerifiedBy,Non-Unique,Non-Clustered,VerifiedBy ASC
DocumentRegistration,PK__Document__1ABEEF0F58F7B64C,Primary Key,Clustered,DocumentId ASC
Landlord,IX_Landlord_IdentificationDocumentId,Non-Unique,Non-Clustered,IdentificationDocumentId ASC
Landlord,IX_Landlord_UserId,Non-Unique,Non-Clustered,UserId ASC
Landlord,PK__Landlord__8EC79DA3110B5B4E,Primary Key,Clustered,LandlordId ASC
LandlordSubscription,IX_LandlordSubscription_LandlordId,Non-Unique,Non-Clustered,LandlordId ASC
LandlordSubscription,IX_LandlordSubscription_PaymentStatusId,Non-Unique,Non-Clustered,PaymentStatusId ASC
LandlordSubscription,IX_LandlordSubscription_SubscriptionId,Non-Unique,Non-Clustered,SubscriptionId ASC
LandlordSubscription,PK__Landlord__C941273B50E561A6,Primary Key,Clustered,LandlordSubscriptionId ASC
LayoutType,PK__LayoutTy__A488931D99AAD456,Primary Key,Clustered,LayoutTypeId ASC
LayoutType,UQ__LayoutTy__30D021EC014C2374,Unique Constraint,Non-Clustered,LayoutTypeName ASC
LeaseAgreement,IX_LeaseAgreement_BookingRequestId,Non-Unique,Non-Clustered,BookingRequestId ASC
LeaseAgreement,IX_LeaseAgreement_LandlordId,Non-Unique,Non-Clustered,LandlordId ASC
LeaseAgreement,IX_LeaseAgreement_ListingId,Non-Unique,Non-Clustered,ListingId ASC
LeaseAgreement,IX_LeaseAgreement_TenantId,Non-Unique,Non-Clustered,TenantId ASC
LeaseAgreement,PK__LeaseAgr__3B8E48A0A50650DC,Primary Key,Clustered,LeaseAgreementId ASC
Listing,IX_Listing_AvailabilityStatusId,Non-Unique,Non-Clustered,AvailabilityStatusId ASC
